english,hassaniya-ar,hassaniya-en
"Easy come, easy go.",ذا اللي يجي بالهون يمشي بالهون ,4e li yji blhoun yimchi blhoun
Pollution is damaging our earth.,التلوث يضر الارض,telewth ydr ardne
I speak a little Slovenian.,نتكلم شوي السلوفينية  ,Netkelem chwey sloveniye
Mathematics is difficult for me.,الرياضيات واعرة اعلي,Riyadiyat wa3re 3liye
Where does your uncle live?,امنين ساكن عمك؟,mneyn saken 3emek?
You must see a doctor.,يالل تشوف طبيب,yall tchouv 6abib
Did you meet her?,اجابرت امعاه؟,2ejabret m3ahe?
Can you speak French?,اتگد تتكلم الفرنسية؟,tged tetkelem lvaransiye?
I knew you'd come.,كنت نعرف انك ادور اتجي,knt n3rf 2nk 2dawr 2tji
Do you come here every day?,أنت تجي هون كل نهار؟,enta tji hown kel nhar?
I read a book while eating.,گريت اكتاب و ان نوكل,greyt ktab wane newkel
There are no hospitals in the vicinity of his house.,ما فم أطباب حذا دارو,mavem a6bab 74e darou
Then she hurried home.,من فم عجلت شور الدار,mn vem 3ajlet chor dar
There isn't any solution.,ما فم حل,ma vem 7el
Everybody agrees with you.,نحن كاملين نتفقو معاك,ne7na kamlin nitev9ou m3ak
How are you doing?,شحالك؟,ch7alak?
The gate is closed at eight.,الباب ينگفل فالليل,lbab yengval v leyl
Why didn't you tell her?,لاش ما گلتهالها,lach ma glthalhe 
I guess you are right.,عندي انك الا على حق,3andi ink la 3le 7a9 
I'll eat it here.,لاه نوكل هون,Lahi newkel houn
My cousins are coming in a few days.,أولاد عمي جايين بعد أيام ,2ewlad 3emi jayin b3d 2eyam
All are happy.,كاملين فرحانين,kamlin var7anin
Let's pretend we are aliens.,خلينا نعدلو انا اهل لخله,5elina n3adelou 2na 2hl li5le
"I'd be unhappy, but I wouldn't kill myself.",ماه لاهي يتمونك في، يكون مان لاه نگتل راصِ,"mani lahi yetmownek viye, yekoun mani lahi nektel rasi"
Please turn off the television.,حگل اطفي التلفزة,7agalla 6fi telveza
"After taking a bath, I drank juice.",أشربت عصير عاگب اسحوم ,Chrebet 3esir 3ageb s7oum
Our living room is sunny.,الفرنده مشمسه,lvarande mchemse
"A tea with lemon, please.",اتاي بليموه، حگلل,2tay blimon 7agll
The city was destroyed by fire.,الدشرة ضيعتها الحريگة,dechra day3etha le7riga
I'd rather be a bird than a fish.,نختير انعود اطويره من انعود حوت,ne5teyr n3oud 6weyre mn n3oud 7oute
I think you'd better go on a diet.,گايل انك الا اشبهلك تبدا رجيم,gayel 2enek la chbehlek tebde2 rejiym
You were late for work.,ترديت عن الشقلة,terdeyt 3en che9le
"I think it is good that books still exist, but they do make me sleepy.","زين عندي ان لكتوب مزالو خالگين, يكون اتنعسني گرايتهم ","zeyn 3andi en lektoub mazal 5alegin, yekoun tne3esni grayethoum"
Look at the picture.,شوفي ذي الصوره,chouv 4i soura
You may be right.,اتگد اتعود ذلي ادگول حگ,tged t3oud 4eli dgoul 7eg
Who do you want to talk to?,تبغي تتكلم مع من؟,tebghi tetkalam m3a mn?
"Oumou likes Mauritania, doesn't she?",أومو تبغي موريتان، امالها حگ؟,"oumou tebghi mouritan, malha 7eg?"
Sidi is a poet.,سيدي شاعر,Sidi cha3er
I want you.,اندورك .,Ndork
I need medical help.,محتاج مساعده طبيه,me7taj mousa3ade 6ibiye
Does he have many books?,حگ عند ياسر من لكتوب؟,7eg 3endou yaser mn lektoub?
My brother lives in Tokyo.,خويا ساكن فطوكيو,5ouya sakn v 6okyo
"At last, I graduated from junior high school.",اخيرا وفيت من كوليج,25irn wveyt mn college
What a big dog it is!,يلالي مكبر ذ الكلب,yellali mekbar 4e lkelb
This flower is more beautiful than that one.,هذي افليراي أزين من ذيك,Ha4i fleuraye 2ezeyen mn 4eyk 
The boy is kind.,اطفيل معيدل,6feyl m3aydel
"English is studied in China, too.",الانگلبزيه تگرى في الصين زاد,lingliziye tougara vi sin zad
It will aggravate the wound.,هذا لاهي يعگر الجرح,ha4a lehi ya3gar ljer7
Do you remember?,مزلت تتذكر؟,mezlt mit4kr
He looks suspicious.,ماه على بابو,maho 3le babo
"What time is it, anyway?",الوقت شنه گاع؟,"lwa9t chenhou, ga3?"
The man kept talking for an hour.,الراجل عطى ساعة يرد,rajel 36a sa3a yred
Take it easy.,بشور,bichor
The converse is also true.,و العكس صحيح,w l3akss sa7i7
Such a thing occurs frequently.,هذا دايما يخلگ,ha4a daymen ye5leg
The dog barked at the stranger.,الكلب نبح ذوك البراني,lkelb nba7 4ok lbarani
Do you want anything?,ادور شي؟,dour chi?
Do you travel a lot?,دايما اتسافر؟,daymn 2tsavr 
I sincerely hope that you will soon recover from your illness.,نتمنى لك الشفاء العاجل,Netmena lk chiva2 l3ajl
Give me a chance!,اعطيني فرصه,236ini vourssa
Turn off the television. I can't concentrate.,التلفزه طفيها، ماني گاده نركز ,"telveze 6vihe , Mani gade nrkz"
Sami wanted Layla to forgive him.,سامي إيدور ليلى تسمحلو ,Sami ydor layla tesme7lou 
"Show me your passport, please.",نعتلي باسبورك حگل,na3ettli passporak 7agalla
One of my suitcases is missing.,وغدت علي وحدة من الفاليزات,weghdet 3liye wa7da mn lvalizat
Ahmed told me that I shouldn't ever do that.,گالي أحمد اني ما نعدل هاذ شي أبدا ,Gali ahmed 2eni man3edel ha4e chi 2ebeden
Fadil brought Layla home.,فاضل جاب ليلى للدار,vadil jab leyla lidar
Last summer I traveled to Italy.,سافرت شور ايطاليا الصيف الفايت,savrt chor i6alya seyv lvayt
She must still be in her twenties.,هي محق انها في العشرين,hiya ma79a 2nha vi 2l3ishrin
Did I win?,أنا فزت؟,ena vezt?
The bus was very crowded. I wish I had taken a taxi.,البيس كان ملان اگبيل نعود اركبت تاكسي,elbus kan mlan gbeyl n3od rkebt taxi
The house is said to be haunted.,ذيك الدار مسكونة,4eyk dar meskouna
You and I are the same age.,انا و انت عندن نفس السن,2ane w nte 3endne nevs sen
That has happened to me several times.,هذ شي اخلگلي مرات,Ha4e chi 5legli marat
I am already late.,انا ترديت,Ena tardeyt
I like the dog.,نبغي ذاك الكلب,nebghi 4ak lkelb
I like playing tennis and golf.,غالي علي لعب التنس والگولف,ghali 3liye le3b tennis w golf
Every house had a garden.,كل دار كان گدامها جردين,kel dar guedameha jardin
Plastic does not burn easily.,بلاستيك ما يشعل بالعجلة,plastique ma yech3al bl3ajle
He exploded with anger.,گامت صنعتو,gamt san3tou
I'm sure she will return soon.,انا مغرش عنها لاهي ترجع اگريب,ena mgharach 3nha lehi tarja3 egreyib
Salem doesn't drive fast.,سالم ما يحرك بالعجلة,Salem ma y7arak bl3ajle
See to it that the door is locked before you leave.,اتأكد حته ان الباب مگفل من سابگ تمشي ,"t2kd 7att,  in lbab megvoul mn sabg timchi"
Get up!,گوم ,goum
My car burns a lot of gas.,وتي وكالة ال گزوال,wetti wekala el gasoil
Charity begins at home.,الناس لگريبلك اولى بالخير ,Nas li greyeblek 2ewle bl5er
Enjoy your meal!,اصل الصحه,sel se7e
You should give up drinking tea and smoking.,يالتك توف من شراب اتاي و الكمية,yaltek tewve mn chrab 2etay w lkemye
How is it going in the fish market?,شمواسي سعر الحوت,chimwassi si3r l7out
I might be your only friend.,نگد انعود انا ال عندك من الأصحاب,ngued n3od ela ena l3andak mn las7ab
The monkey climbed up a tree.,ليليها طلعت على الصدراية,leyliha 6al3et 3le sedraye
"If it rains tomorrow, I'll stay at home.",لين تجي السحاب الصبح لهي نبگ في الدار,leyn tji 2s7ab sib7 lehi nebgue vidar
The situation is worse than we believed.,الوضع اشين من ذلي كن شاكين,lwede3 2echyen mn 4eli kene chakin
I talked to friends.,اتكلمت امع اصحابي,tkelemt m3e s7abi
What made you change your mind?,ذ شنه لي خلاك تبدل رايك؟,4e chenhou li 5elak tbedel re2yek?
Never mind.,مو مهم,mo mouhim
The man was dying.,الراجل كان يحتضر,rajel kan ye7tadhar
Nasser gave me your name.,ناصر عطاني اسمك,Nasser 36ani smak
What do you like to eat?,شتغبي توكل؟,chtebghi tewkel?
This is just the CD that I was looking for.,ذا هو سي دي اللي كنت انلود لو,4a hu CD 2lli knt 2nlwd lu
Mouhamed and Oumar are friends.,محمد و عمر اصحاب,mo7amed w 3oumer 2s7ab
He always tells the truth.,ما گط گال ماه شي حگ,maga6 gal maho chi 7ag
Please cut your vacation short and return.,و جتلك ٫ اگطع عطلتك و ارجع,wejetlk g6a3 3i6ltk w 2rja3
Can you hear the noise of the waves on the beach?,سامع لموج لبحر على حاشية لبحر ؟,same3 lmewj lib7ar 3le 7achiyit lib7ar?
You must do it yourself.,يالتك اتعدل ذاك الراصك,yaltek t3edel 4ak lrasek
His reply was negative.,جواب كان سلبي,Jwabu kan selbi
It was one hell of an adventure.,كانت مغامرة ماهي معقولة,kant moughamara mahi ma39oula
I was just about to go out when it began to rain hard.,كنت لاهي نوخظ ايتان مجي سحاب متينة ,kent lahi no5a8 aytan mji s7ab mtina
Can you swim?,تعرف اتعوم؟,te3rev t3oum?
Tell me what happened.,گولي ذلي اخلگ شنه؟,gouli 4eli 5leg chenhou?
Press the bell twice.,عجن سونري مرتين,3jen sonnerie marteyn
The garbage-can gave off a bad smell.,بريگة مباليت ريحتها مانعة,beriguett mbalit ri7etha man3a
He lay on the bed.,اتك على المتكة,etki 3le lmetka
I'm gonna fuck sidi up.,لاه اندگدگ اوجه سيدي,Lahi ndegdeg wjeh sidi
Give the book back to the owner.,رد لكتاب ال مولاه,red lektab el moulah
You mustn't depend on others for help.,ما يالتك تتكل راصك عل ارواگيج اياك ايعاونوك,ma yaltek tetkel rasek 3le rwagiyj yak y3awnouk
He'll be there in ten minutes.,لاهي يعود فم عاگب عشر دقائق,lehi y3od vem 3agueb 3char da9a2i9
Amadu came home very late.,آمادو ارجع للدار متأخر,Amadou 2rja3 lidar mt2a5er
Tourists have increased in number.,السياح انزادو,2ssouya7 2nzadou 
I can't stand the noise.,ما نكد نصبر ذ الحس,mangued nesber 4e l7ess
"Hello, Mouhamed. Good morning.",السلام عليكم محمد ، اصباح الخير,"selamou 3aleykoum mou7amed , 2sba7 l5eyr"
I am already late.,أنا توخرت,2ane twe5ert 
Does Aziz like Azizatoes?,عزيز يبغي تماتة؟,3aziz yebghi tomata
What does she want?,هي شدوو؟,hiye chedor?
What is happening?,شخلگ؟,chi5lg?
I suppose you're hungry.,گايلنك جعان,gaylenek ji3an
Your house is fantastic.,دارك زينة,darak zeyna
Those people didn't tell us anything about you.,هاذو الناس ما گالولنا شي عنك,ha4ou nas ma Galulne shi 3nk
I don't like that idea much.,ما نبغي ذي التخميمة,manbghi 4i te5mima
Karim has a significant role in the movie.,كريم عندو دور مهم ف فيلم,Karim 3endu dewr mouhim v film
When will you be back?,اينت لهي ترجع؟,inte lehi terj3
The teacher has a great influence on his pupils.,الگراي تأثيرو كبير على تلاميدو,elgaray te2thirou kbir 3le tlamidou
You must not run in the school buildings.,ما يالتك تجري نگر المدرسة,Ma yaltek tejri neger lmedrese 
It is almost three.,الثالث گربت,2thalthe gerbet
That very tune reminded me of my adolescence.,ذيك النغمه ذكرتني ابمراهقتي,4ik 2naghme 4akrtni 2b-mouraha9ti
Let's consider the worst that could happen.,وهاي نتخم ف اشين شي ايگد يخلگ,wehay net5emou 2v 2chyen chi yged ye5leg
Can I borrow your scissors?,نگد نعري مغسك؟,ngued ne3ri maghsak
Here they come.,ذوكوما جاو,4okoma jaw
Today is June 18th and it is Ahmed's birthday!,اليُوم اثمنطعش من يونيو وهو عيد ميلاد أحمد ,elyoum 2thmen6e3ech mn younyou w houwe 3iyd miylad ahmed 
Jamal kept bursting out with laughter.,جمال تم الا گابظو موطس,jamal tem ela gab8ou mou6ess
"She said she was twenty years old, which was not true.",گالت ان عندها عشرين سنة كون ذاك ماه حگ,Galt 2en 3endhe 3echriyn sene koun 4ak mahou 7eg
Why are you in such a hurry?,شمعجلك؟,chm3ajlak?
You have to be patient.,يالل تعود صبار,yall t3oud sabar
He has started to write a novel.,سنت يكتب الرواية,senta yekteb riwaya
What happened here?,ذلي خلگ هون شنه؟,4eli 5leg hown chenhou?
No one can deny the fact.,هذا ما يگد ينكرو حد,ha4a maygued yenkrou 7ad
Why didn't you let me know you were in New York?,لاش ما گتلي عنك كنت فنيويورك؟,lach ma guettli nak kent v new york?
I'm sorry.,اسمحلي,esma7li
What are you looking for?,اتلود لاش؟,tlewed lach?
"His boss is friendly, he's Mauritanian.",مديرو معيدل، هو موريتاني,"Mudiyru m3eydel, howe mauritani"
It is difficult to give up smoking.,الوفيان من الكمي واعر,lwevyan mn lkemi wa3r
I returned his book to him.,رديتلو اكتابو,Redeytlou ktabou 
I have never eaten Chinese food.,ما گط كلت لوكيل صيني ,ma ga6 kelt lewkil sini 
You have a good sense of humor.,انت فيلح,nte veyle7
Education is one of the most essential aspects of life.,التربيه وحده من اهم مظاهر الحياة,tarbiye wa7de mn ehem me8ahr l7ayat
You must do your best.,يالتك ما تبخل شي,yaltek ma teb5el chi
Hello? Are you still here?,"السلام عليكم, انت مزلت هون؟","selamou 3eleykoum, nte mezelet houn?"
The meeting was held here.,الاجتماع وعدل هون,lejtima3 w3adel houn
Please write with a pen.,حگل اكتب بستيلو,7agalla kteb b stylo
What time do you get up every day?,اينت توع كل نهار,2ente tew3e kel nhar
"The store was not a big one, was it?","المگزينة ما كانت كبيرة, مالها حگ؟","lmegazayna makant kbira, malha 7ag?"
That music always reminded me of you.,هذا الهول يفگدني بيك,ha4a lhewl yveguedni bik
Your cake is delicious.,كيكتك ماه عاديَ بيه زين,caktek mahi 3adye bihe zeyn
